"","key","value","Sex","Treatment","Age","Setting","ValueType"
"90","X1",0.25031007564595,1,"AE",89,"AE","Activities"
"91","X1",0.250658968683127,1,"AE",90,"AE","Activities"
"92","X2",0.247732976320396,1,"AE",0,"AE","Cost"
"93","X2",0.249834670136044,1,"AE",1,"AE","Cost"
"94","X2",0.251054885131028,1,"AE",2,"AE","Cost"
"95","X2",0.25167186102972,1,"AE",3,"AE","Cost"
"96","X2",0.251963837556491,1,"AE",4,"AE","Cost"
"97","X2",0.25216326754932,1,"AE",5,"AE","Cost"
"98","X2",0.252319456300613,1,"AE",6,"AE","Cost"
"99","X2",0.252435922216384,1,"AE",7,"AE","Cost"
"100","X2",0.252516183702644,1,"AE",8,"AE","Cost"
"101","X2",0.252563759165407,1,"AE",9,"AE","Cost"
"102","X2",0.252582167010685,1,"AE",10,"AE","Cost"
"103","X2",0.252574925644493,1,"AE",11,"AE","Cost"
"104","X2",0.252545553472842,1,"AE",12,"AE","Cost"
"105","X2",0.252497568901745,1,"AE",13,"AE","Cost"
"106","X2",0.252434490337216,1,"AE",14,"AE","Cost"
"107","X2",0.252359495844309,1,"AE",15,"AE","Cost"
"108","X2",0.252274402124247,1,"AE",16,"AE","Cost"
"109","X2",0.252180685537292,1,"AE",17,"AE","Cost"
"110","X2",0.252079822443709,1,"AE",18,"AE","Cost"
"111","X2",0.251973289203762,1,"AE",19,"AE","Cost"
"112","X2",0.251862562177715,1,"AE",20,"AE","Cost"
"113","X2",0.25174911772583,1,"AE",21,"AE","Cost"
"114","X2",0.251634432208373,1,"AE",22,"AE","Cost"
"115","X2",0.251519981985606,1,"AE",23,"AE","Cost"
"116","X2",0.251407243417795,1,"AE",24,"AE","Cost"
"117","X2",0.251297692865201,1,"AE",25,"AE","Cost"
"118","X2",0.25119280668809,1,"AE",26,"AE","Cost"
"119","X2",0.251094061246725,1,"AE",27,"AE","Cost"
"120","X2",0.25100293290137,1,"AE",28,"AE","Cost"
"121","X2",0.250920898012289,1,"AE",29,"AE","Cost"
"122","X2",0.250849432939745,1,"AE",30,"AE","Cost"
"123","X2",0.250790014044003,1,"AE",31,"AE","Cost"
"124","X2",0.250744117685325,1,"AE",32,"AE","Cost"
"125","X2",0.250713220223977,1,"AE",33,"AE","Cost"
"126","X2",0.250698798020221,1,"AE",34,"AE","Cost"
"127","X2",0.25070160350841,1,"AE",35,"AE","Cost"
"128","X2",0.250719493419243,1,"AE",36,"AE","Cost"
"129","X2",0.250749600557511,1,"AE",37,"AE","Cost"
"130","X2",0.250789057728002,1,"AE",38,"AE","Cost"
"131","X2",0.250834997735505,1,"AE",39,"AE","Cost"
"132","X2",0.250884553384809,1,"AE",40,"AE","Cost"
"133","X2",0.250934857480702,1,"AE",41,"AE","Cost"
"134","X2",0.250983042827974,1,"AE",42,"AE","Cost"
"135","X2",0.251026242231413,1,"AE",43,"AE","Cost"
"136","X2",0.251061588495808,1,"AE",44,"AE","Cost"
"137","X2",0.251086214425947,1,"AE",45,"AE","Cost"
"138","X2",0.251097252826621,1,"AE",46,"AE","Cost"
"139","X2",0.251091836502617,1,"AE",47,"AE","Cost"
"140","X2",0.251067098258724,1,"AE",48,"AE","Cost"
"141","X2",0.251020170899732,1,"AE",49,"AE","Cost"
"142","X2",0.250948187230429,1,"AE",50,"AE","Cost"
"143","X2",0.250848280055603,1,"AE",51,"AE","Cost"
"144","X2",0.250717582180045,1,"AE",52,"AE","Cost"
"145","X2",0.250553226408542,1,"AE",53,"AE","Cost"
"146","X2",0.250352345545883,1,"AE",54,"AE","Cost"
"147","X2",0.250114936831314,1,"AE",55,"AE","Cost"
"148","X2",0.249852455241903,1,"AE",56,"AE","Cost"
"149","X2",0.249579220189176,1,"AE",57,"AE","Cost"
"150","X2",0.249309551084659,1,"AE",58,"AE","Cost"
"151","X2",0.249057767339877,1,"AE",59,"AE","Cost"
"152","X2",0.248838188366355,1,"AE",60,"AE","Cost"
"153","X2",0.248665133575619,1,"AE",61,"AE","Cost"
"154","X2",0.248552922379194,1,"AE",62,"AE","Cost"
"155","X2",0.248515874188606,1,"AE",63,"AE","Cost"
"156","X2",0.24856830841538,1,"AE",64,"AE","Cost"
"157","X2",0.248719694680541,1,"AE",65,"AE","Cost"
"158","X2",0.248960103443109,1,"AE",66,"AE","Cost"
"159","X2",0.249274755371606,1,"AE",67,"AE","Cost"
"160","X2",0.249648871134551,1,"AE",68,"AE","Cost"
"161","X2",0.250067671400465,1,"AE",69,"AE","Cost"
"162","X2",0.250516376837867,1,"AE",70,"AE","Cost"
"163","X2",0.250980208115279,1,"AE",71,"AE","Cost"
"164","X2",0.251444385901221,1,"AE",72,"AE","Cost"
"165","X2",0.251894130864213,1,"AE",73,"AE","Cost"
"166","X2",0.252314663672775,1,"AE",74,"AE","Cost"
"167","X2",0.252691204995428,1,"AE",75,"AE","Cost"
"168","X2",0.253008975500691,1,"AE",76,"AE","Cost"
"169","X2",0.253253195857086,1,"AE",77,"AE","Cost"
"170","X2",0.253409086733132,1,"AE",78,"AE","Cost"
"171","X2",0.25346186879735,1,"AE",79,"AE","Cost"
"172","X2",0.25339676271826,1,"AE",80,"AE","Cost"
"173","X2",0.253205589500731,1,"AE",81,"AE","Cost"
"174","X2",0.252906571495022,1,"AE",82,"AE","Cost"
"175","X2",0.252524531387742,1,"AE",83,"AE","Cost"
"176","X2",0.2520842918655,1,"AE",84,"AE","Cost"
"177","X2",0.251610675614904,1,"AE",85,"AE","Cost"
"178","X2",0.251128505322562,1,"AE",86,"AE","Cost"
"179","X2",0.250662603675082,1,"AE",87,"AE","Cost"
"180","X2",0.250237793359073,1,"AE",88,"AE","Cost"
"181","X2",0.249878897061143,1,"AE",89,"AE","Cost"
"182","X2",0.2496107374679,1,"AE",90,"AE","Cost"
"183","X3",0.252043562251244,1,"Elective",0,"APC","Activities"
"184","X3",0.25128355354685,1,"Elective",1,"APC","Activities"
"185","X3",0.250793229569296,1,"Elective",2,"APC","Activities"
"186","X3",0.250516962161753,1,"Elective",3,"APC","Activities"
"187","X3",0.250399123167389,1,"Elective",4,"APC","Activities"
"188","X3",0.250390721769248,1,"Elective",5,"APC","Activities"
"189","X3",0.250469316509874,1,"Elective",6,"APC","Activities"
"190","X3",0.250619103271685,1,"Elective",7,"APC","Activities"
"191","X3",0.250824277937099,1,"Elective",8,"APC","Activities"
"192","X3",0.251069036388534,1,"Elective",9,"APC","Activities"
"193","X3",0.251337574508409,1,"Elective",10,"APC","Activities"
"194","X3",0.251614088179141,1,"Elective",11,"APC","Activities"
"195","X3",0.251882773283148,1,"Elective",12,"APC","Activities"
"196","X3",0.252127825702849,1,"Elective",13,"APC","Activities"
"197","X3",0.252333441320662,1,"Elective",14,"APC","Activities"
"198","X3",0.252487152856634,1,"Elective",15,"APC","Activities"
"199","X3",0.252589840381331,1,"Elective",16,"APC","Activities"
"200","X3",0.252645720802948,1,"Elective",17,"APC","Activities"
"201","X3",0.252659011029679,1,"Elective",18,"APC","Activities"
"202","X3",0.252633927969719,1,"Elective",19,"APC","Activities"
"203","X3",0.252574688531264,1,"Elective",20,"APC","Activities"
"204","X3",0.252485509622508,1,"Elective",21,"APC","Activities"
"205","X3",0.252370608151646,1,"Elective",22,"APC","Activities"
"206","X3",0.252234201026873,1,"Elective",23,"APC","Activities"
"207","X3",0.252080505156384,1,"Elective",24,"APC","Activities"
"208","X3",0.251913737448374,1,"Elective",25,"APC","Activities"
"209","X3",0.251738114811037,1,"Elective",26,"APC","Activities"
"210","X3",0.251557854152568,1,"Elective",27,"APC","Activities"
"211","X3",0.251377172381163,1,"Elective",28,"APC","Activities"
"212","X3",0.251200286405016,1,"Elective",29,"APC","Activities"
"213","X3",0.251031413132322,1,"Elective",30,"APC","Activities"
"214","X3",0.250874769471276,1,"Elective",31,"APC","Activities"
"215","X3",0.250734572330073,1,"Elective",32,"APC","Activities"
"216","X3",0.250615038616908,1,"Elective",33,"APC","Activities"
"217","X3",0.250520385239975,1,"Elective",34,"APC","Activities"
"218","X3",0.250453737362562,1,"Elective",35,"APC","Activities"
"219","X3",0.250413853168325,1,"Elective",36,"APC","Activities"
"220","X3",0.250398399096013,1,"Elective",37,"APC","Activities"
"221","X3",0.250405041584374,1,"Elective",38,"APC","Activities"
"222","X3",0.250431447072157,1,"Elective",39,"APC","Activities"
"223","X3",0.25047528199811,1,"Elective",40,"APC","Activities"
"224","X3",0.250534212800983,1,"Elective",41,"APC","Activities"
"225","X3",0.250605905919524,1,"Elective",42,"APC","Activities"
"226","X3",0.250688027792482,1,"Elective",43,"APC","Activities"
"227","X3",0.250778244858604,1,"Elective",44,"APC","Activities"
"228","X3",0.25087422355664,1,"Elective",45,"APC","Activities"
"229","X3",0.250973630325339,1,"Elective",46,"APC","Activities"
"230","X3",0.251074131603449,1,"Elective",47,"APC","Activities"
"231","X3",0.251173393829718,1,"Elective",48,"APC","Activities"
"232","X3",0.251269083442896,1,"Elective",49,"APC","Activities"
"233","X3",0.25135886688173,1,"Elective",50,"APC","Activities"
"234","X3",0.25144041058497,1,"Elective",51,"APC","Activities"
"235","X3",0.251511380991365,1,"Elective",52,"APC","Activities"
"236","X3",0.251569444539662,1,"Elective",53,"APC","Activities"
"237","X3",0.251612267668611,1,"Elective",54,"APC","Activities"
"238","X3",0.251638304040842,1,"Elective",55,"APC","Activities"
"239","X3",0.25164915621452,1,"Elective",56,"APC","Activities"
"240","X3",0.25164721397169,1,"Elective",57,"APC","Activities"
"241","X3",0.251634867094397,1,"Elective",58,"APC","Activities"
"242","X3",0.251614505364689,1,"Elective",59,"APC","Activities"
"243","X3",0.251588518564611,1,"Elective",60,"APC","Activities"
"244","X3",0.251559296476208,1,"Elective",61,"APC","Activities"
"245","X3",0.251529228881527,1,"Elective",62,"APC","Activities"
"246","X3",0.251500705562615,1,"Elective",63,"APC","Activities"
"247","X3",0.251476116301516,1,"Elective",64,"APC","Activities"
"248","X3",0.251457299690592,1,"Elective",65,"APC","Activities"
"249","X3",0.251443889563469,1,"Elective",66,"APC","Activities"
"250","X3",0.251434968564088,1,"Elective",67,"APC","Activities"
"251","X3",0.25142961933639,1,"Elective",68,"APC","Activities"
"252","X3",0.251426924524315,1,"Elective",69,"APC","Activities"
"253","X3",0.251425966771804,1,"Elective",70,"APC","Activities"
"254","X3",0.251425828722798,1,"Elective",71,"APC","Activities"
"255","X3",0.251425593021239,1,"Elective",72,"APC","Activities"
"256","X3",0.251424342311066,1,"Elective",73,"APC","Activities"
"257","X3",0.251421159236222,1,"Elective",74,"APC","Activities"
"258","X3",0.251415126440646,1,"Elective",75,"APC","Activities"
"259","X3",0.25140532656828,1,"Elective",76,"APC","Activities"
"260","X3",0.251390842263065,1,"Elective",77,"APC","Activities"
"261","X3",0.251370756168942,1,"Elective",78,"APC","Activities"
"262","X3",0.251344150929851,1,"Elective",79,"APC","Activities"
"263","X3",0.251310109189733,1,"Elective",80,"APC","Activities"
"264","X3",0.251268030003976,1,"Elective",81,"APC","Activities"
"265","X3",0.251218578073752,1,"Elective",82,"APC","Activities"
"266","X3",0.25116273451168,1,"Elective",83,"APC","Activities"
"267","X3",0.251101480430378,1,"Elective",84,"APC","Activities"
"268","X3",0.251035796942464,1,"Elective",85,"APC","Activities"
"269","X3",0.250966665160558,1,"Elective",86,"APC","Activities"
"270","X3",0.250895066197278,1,"Elective",87,"APC","Activities"
"271","X3",0.250821981165242,1,"Elective",88,"APC","Activities"
"272","X3",0.25074839117707,1,"Elective",89,"APC","Activities"
"273","X3",0.25067527734538,1,"Elective",90,"APC","Activities"
"274","X4",0.251675709191507,1,"Elective",0,"APC","Cost"
"275","X4",0.251525614422417,1,"Elective",1,"APC","Cost"
"276","X4",0.250986439022183,1,"Elective",2,"APC","Cost"
"277","X4",0.250263976896387,1,"Elective",3,"APC","Cost"
"278","X4",0.249564021950615,1,"Elective",4,"APC","Cost"
"279","X4",0.249053514235729,1,"Elective",5,"APC","Cost"
"280","X4",0.248743978383701,1,"Elective",6,"APC","Cost"
"281","X4",0.24860808517178,1,"Elective",7,"APC","Cost"
"282","X4",0.248618505377218,1,"Elective",8,"APC","Cost"
"283","X4",0.248747909777262,1,"Elective",9,"APC","Cost"
"284","X4",0.248968969149164,1,"Elective",10,"APC","Cost"
"285","X4",0.249254354270172,1,"Elective",11,"APC","Cost"
"286","X4",0.249576735917538,1,"Elective",12,"APC","Cost"
"287","X4",0.249908784868509,1,"Elective",13,"APC","Cost"
"288","X4",0.250223171900337,1,"Elective",14,"APC","Cost"
"289","X4",0.250497631720433,1,"Elective",15,"APC","Cost"
"290","X4",0.250730154756861,1,"Elective",16,"APC","Cost"
"291","X4",0.250923795367848,1,"Elective",17,"APC","Cost"
"292","X4",0.251081607911619,1,"Elective",18,"APC","Cost"
"293","X4",0.2512066467464,1,"Elective",19,"APC","Cost"
"294","X4",0.251301966230419,1,"Elective",20,"APC","Cost"
"295","X4",0.251370620721901,1,"Elective",21,"APC","Cost"
"296","X4",0.251415664579073,1,"Elective",22,"APC","Cost"
"297","X4",0.25144015216016,1,"Elective",23,"APC","Cost"
"298","X4",0.251447137823389,1,"Elective",24,"APC","Cost"
"299","X4",0.251439675926986,1,"Elective",25,"APC","Cost"
"300","X4",0.251420820829177,1,"Elective",26,"APC","Cost"
"301","X4",0.25139362688819,1,"Elective",27,"APC","Cost"
"302","X4",0.251361148462248,1,"Elective",28,"APC","Cost"
"303","X4",0.25132643990958,1,"Elective",29,"APC","Cost"
"304","X4",0.251292555588411,1,"Elective",30,"APC","Cost"
"305","X4",0.251262549856967,1,"Elective",31,"APC","Cost"
"306","X4",0.251239477073476,1,"Elective",32,"APC","Cost"
"307","X4",0.251226391596162,1,"Elective",33,"APC","Cost"
"308","X4",0.251226347783252,1,"Elective",34,"APC","Cost"
"309","X4",0.251241413847517,1,"Elective",35,"APC","Cost"
"310","X4",0.251269713419911,1,"Elective",36,"APC","Cost"
"311","X4",0.251308383985929,1,"Elective",37,"APC","Cost"
"312","X4",0.251354563031069,1,"Elective",38,"APC","Cost"
"313","X4",0.25140538804083,1,"Elective",39,"APC","Cost"
"314","X4",0.251457996500706,1,"Elective",40,"APC","Cost"
"315","X4",0.251509525896197,1,"Elective",41,"APC","Cost"
"316","X4",0.2515571137128,1,"Elective",42,"APC","Cost"
"317","X4",0.251597897436011,1,"Elective",43,"APC","Cost"
"318","X4",0.251629014551328,1,"Elective",44,"APC","Cost"
"319","X4",0.251647602544248,1,"Elective",45,"APC","Cost"
"320","X4",0.251650798900269,1,"Elective",46,"APC","Cost"
"321","X4",0.251635741104888,1,"Elective",47,"APC","Cost"
"322","X4",0.251599566643603,1,"Elective",48,"APC","Cost"
"323","X4",0.251539413001909,1,"Elective",49,"APC","Cost"
"324","X4",0.251452417665306,1,"Elective",50,"APC","Cost"
"325","X4",0.251335718119289,1,"Elective",51,"APC","Cost"
"326","X4",0.251186451849357,1,"Elective",52,"APC","Cost"
"327","X4",0.251001756341007,1,"Elective",53,"APC","Cost"
"328","X4",0.250778769079736,1,"Elective",54,"APC","Cost"
"329","X4",0.250517279175031,1,"Elective",55,"APC","Cost"
"330","X4",0.250227682232345,1,"Elective",56,"APC","Cost"
"331","X4",0.249923025481119,1,"Elective",57,"APC","Cost"
"332","X4",0.249616356150794,1,"Elective",58,"APC","Cost"
"333","X4",0.249320721470813,1,"Elective",59,"APC","Cost"
"334","X4",0.249049168670617,1,"Elective",60,"APC","Cost"
"335","X4",0.248814744979649,1,"Elective",61,"APC","Cost"
"336","X4",0.248630497627349,1,"Elective",62,"APC","Cost"
"337","X4",0.24850947384316,1,"Elective",63,"APC","Cost"
"338","X4",0.248464720856524,1,"Elective",64,"APC","Cost"
"339","X4",0.248505429662509,1,"Elective",65,"APC","Cost"
"340","X4",0.248625366318695,1,"Elective",66,"APC","Cost"
"341","X4",0.24881444064829,1,"Elective",67,"APC","Cost"
"342","X4",0.249062562474498,1,"Elective",68,"APC","Cost"
"343","X4",0.249359641620527,1,"Elective",69,"APC","Cost"
"344","X4",0.249695587909584,1,"Elective",70,"APC","Cost"
"345","X4",0.250060311164876,1,"Elective",71,"APC","Cost"
"346","X4",0.250443721209608,1,"Elective",72,"APC","Cost"
"347","X4",0.250835727866988,1,"Elective",73,"APC","Cost"
"348","X4",0.251226240960222,1,"Elective",74,"APC","Cost"
"349","X4",0.251605170312517,1,"Elective",75,"APC","Cost"
"350","X4",0.251962425747079,1,"Elective",76,"APC","Cost"
"351","X4",0.252287917087116,1,"Elective",77,"APC","Cost"
"352","X4",0.252571554155834,1,"Elective",78,"APC","Cost"
"353","X4",0.252803246776439,1,"Elective",79,"APC","Cost"
"354","X4",0.252972904772138,1,"Elective",80,"APC","Cost"
"355","X4",0.253074777441031,1,"Elective",81,"APC","Cost"
"356","X4",0.253120471980786,1,"Elective",82,"APC","Cost"
"357","X4",0.253125935063966,1,"Elective",83,"APC","Cost"
"358","X4",0.253107113363132,1,"Elective",84,"APC","Cost"
"359","X4",0.253079953550847,1,"Elective",85,"APC","Cost"
"360","X4",0.253060402299672,1,"Elective",86,"APC","Cost"
"361","X4",0.253064406282168,1,"Elective",87,"APC","Cost"
"362","X4",0.253107912170899,1,"Elective",88,"APC","Cost"
"363","X4",0.253206866638425,1,"Elective",89,"APC","Cost"
"364","X4",0.253377216357309,1,"Elective",90,"APC","Cost"
"365","X5",0.060612807031627,1,"MHLD",0,"APC","Activities"
"366","X5",0.101222612804543,1,"MHLD",1,"APC","Activities"
"367","X5",0.140755727999538,1,"MHLD",2,"APC","Activities"
"368","X5",0.177140926316196,1,"MHLD",3,"APC","Activities"
"369","X5",0.208306981454105,1,"MHLD",4,"APC","Activities"
"370","X5",0.232662569156399,1,"MHLD",5,"APC","Activities"
"371","X5",0.250535973340411,1,"MHLD",6,"APC","Activities"
"372","X5",0.262735379967022,1,"MHLD",7,"APC","Activities"
"373","X5",0.270068974997112,1,"MHLD",8,"APC","Activities"
"374","X5",0.273344944391564,1,"MHLD",9,"APC","Activities"
"375","X5",0.273371474111259,1,"MHLD",10,"APC","Activities"
"376","X5",0.270956750117078,1,"MHLD",11,"APC","Activities"
"377","X5",0.266908958369901,1,"MHLD",12,"APC","Activities"
"378","X5",0.262036284830611,1,"MHLD",13,"APC","Activities"
"379","X5",0.257146915460088,1,"MHLD",14,"APC","Activities"
"380","X5",0.252905679583189,1,"MHLD",15,"APC","Activities"
"381","X5",0.249403979980669,1,"MHLD",16,"APC","Activities"
"382","X5",0.246589862797257,1,"MHLD",17,"APC","Activities"
"383","X5",0.244411374177684,1,"MHLD",18,"APC","Activities"
"384","X5",0.24281656026668,1,"MHLD",19,"APC","Activities"
"385","X5",0.241753467208974,1,"MHLD",20,"APC","Activities"
"386","X5",0.241170141149298,1,"MHLD",21,"APC","Activities"
"387","X5",0.241014628232379,1,"MHLD",22,"APC","Activities"
"388","X5",0.24123497460295,1,"MHLD",23,"APC","Activities"
"389","X5",0.241779226405739,1,"MHLD",24,"APC","Activities"
"390","X5",0.242595429785476,1,"MHLD",25,"APC","Activities"
"391","X5",0.243631630886893,1,"MHLD",26,"APC","Activities"
"392","X5",0.244835875854718,1,"MHLD",27,"APC","Activities"
"393","X5",0.246156210833681,1,"MHLD",28,"APC","Activities"
"394","X5",0.247540681968513,1,"MHLD",29,"APC","Activities"
"395","X5",0.248937335403944,1,"MHLD",30,"APC","Activities"
"396","X5",0.250294217284703,1,"MHLD",31,"APC","Activities"
"397","X5",0.251559373755521,1,"MHLD",32,"APC","Activities"
"398","X5",0.252680850961127,1,"MHLD",33,"APC","Activities"
"399","X5",0.253606695046252,1,"MHLD",34,"APC","Activities"
"400","X5",0.25429705000707,1,"MHLD",35,"APC","Activities"
"401","X5",0.254760451245534,1,"MHLD",36,"APC","Activities"
"402","X5",0.255017532015041,1,"MHLD",37,"APC","Activities"
"403","X5",0.255088925568989,1,"MHLD",38,"APC","Activities"
"404","X5",0.254995265160775,1,"MHLD",39,"APC","Activities"
"405","X5",0.254757184043797,1,"MHLD",40,"APC","Activities"
"406","X5",0.254395315471451,1,"MHLD",41,"APC","Activities"
"407","X5",0.253930292697136,1,"MHLD",42,"APC","Activities"
"408","X5",0.253382748974248,1,"MHLD",43,"APC","Activities"
"409","X5",0.252773317556185,1,"MHLD",44,"APC","Activities"
"410","X5",0.252122631696345,1,"MHLD",45,"APC","Activities"
